product_id,supplier_id,is_primary,cost_price,lead_time_days
PRD001,SUP001,true,89.99,14
PRD001,SUP007,false,92.50,21
PRD002,SUP002,true,75.00,10
PRD002,SUP003,false,78.25,12
PRD003,SUP002,true,12.50,7
PRD004,SUP008,true,18.00,5
PRD004,SUP003,false,19.75,8
PRD005,SUP001,true,8.50,10
PRD005,SUP007,false,9.25,15
PRD006,SUP008,true,35.00,12
PRD007,SUP009,true,120.00,21
PRD007,SUP010,false,125.00,18
PRD008,SUP002,true,125.00,28
PRD008,SUP004,false,130.00,35
PRD009,SUP001,true,65.00,14
PRD009,SUP007,false,67.50,18
PRD010,SUP008,true,28.00,10
PRD011,SUP001,true,150.00,21
PRD011,SUP007,false,155.00,25
PRD012,SUP006,true,55.00,14
PRD012,SUP004,false,58.00,18
PRD013,SUP001,true,95.00,12
PRD013,SUP007,false,98.00,16
PRD014,SUP010,true,15.00,10
PRD015,SUP001,true,89.00,18
PRD015,SUP007,false,92.00,22
PRD016,SUP009,true,75.00,15
PRD016,SUP003,false,78.00,18
PRD017,SUP008,true,45.00,7
PRD018,SUP009,true,80.00,21
PRD019,SUP004,true,125.00,30
PRD019,SUP002,false,128.00,25
PRD020,SUP010,true,150.00,14
PRD021,SUP004,true,95.00,25
PRD022,SUP003,true,48.00,12
PRD023,SUP001,true,140.00,16
PRD023,SUP007,false,145.00,20
PRD024,SUP008,true,100.00,14
PRD025,SUP002,true,100.00,18
PRD025,SUP004,false,105.00,25
